name,primary_exchange,symbol
Asana Inc (Class A),NYSE,ASAN
Class A,NYSE,RKT
American Well Corporation (Class A),NYSE,AMWL
Snowflake Inc (Class A),NYSE,SNOW
Apple Inc,NASDAQ,AAPL
Aberdeen Standard Physical Gold Shares ETF,NYSE,SGOL
Academy Sports and Outdoors Inc,NASDAQ,ASO
NextPoint Acquisition Corp (Class A),TSX,NAC.U
Horizons ReSolve Adaptive Asset Allocation ETF,TSX,HRAA
AlloVir Inc,NASDAQ,ALVR
Astrazeneca plc,NASDAQ,AZN
Mission Produce Inc,NASDAQ,AVO
iShares ESG Aware MSCI Canada Index ETF,TSX,XESG
Aya Gold & Silver Inc,TSX,AYA
iShares ESG Balanced ETF Portfolio,TSX,GBAL
Beam Global,NASDAQ,BEEM
Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 2X Sh,NYSE,DRIP
ProShares UltraShort Nasdaq Biotechnology,NASDAQ,BIS
BigCommerce Holdings Inc,NASDAQ,BIGC
Tetra Bio-Pharma Inc,TSX,TBP
The Bitcoin Fund - Unit - Class A,TSX,QBTC.U
Broadstone Net Lease Inc (Class A),NYSE,BNL
Brigadier Gold Ltd.,TSX-V,BRG
Casper Sleep Inc,NYSE,CSPR
CloudMD Software & Services Inc,TSX-V,DOC
Trane Technologies plc (Class A),NYSE,TT
TD One Click Moderate ETF Portfolio,TSX,TOCM
ETF Currency Hedged,TSX,SBT
Caesars Entertainment Inc,NASDAQ,CZR
Pactiv Evergreen Inc,NASDAQ,PTVE
PIMCO 15+ Year U.S. TIPS Index Exchange-Traded Fund,NYSE,LTPZ
Facedrive Inc,TSX-V,FD
New Found Gold Corp,TSX-V,NFG
Galaxy Digital Holdings Ltd.,TSX,GLXY
SPDR Gold MiniShares Trust,NYSE,GLDM
K9 Gold Corp.,TSX-V,KNC
GreenPower Motor Company Inc,TSX-V,GPV
Hercules Capital Inc,NYSE,HTGC
Just Energy Group Inc,TSX,JE
Kodiak Copper Corp,TSX-V,KDK
Mackenzie US Large Cap Equity Index ETF - USD,TSX,QUU.U
Sumo Logic Inc,NASDAQ,SUMO
Loop Insights Inc,TSX-V,MTRX
Lumen Technologies Inc.,NYSE,LUMN
Mackenzie Global Sustainable Dividend Index ETF - USD,TSX,MDVD.U
New Pacific Metals Corp,TSX,NUAG
Macarthur Minerals Ltd,TSX-V,MMS
Novo Resources Corp,TSX-V,NVO
Oak Street Health Inc,NYSE,OSH
TD One Click Conservative ETF Portfolio,TSX,TOCC
Palantir Technologies Inc (Class A) ,NYSE,PLTR
Whiting Petroleum Corp,NYSE,WLL
Royalty Pharma plc (Class A),NASDAQ,RPRX
ProShares UltraPro Short QQQ,NASDAQ,SQQQ
Mackenzie US TIPS Index ETF CAD-Hedged Ser E,AEQUITAS NEO EXCHANGE,QTIP
Rackspace Technology Inc,NASDAQ,RXT
ProShares UltraShort Technology,NYSE,REW
Unity Software Inc,NYSE,U
Tesla Inc,NASDAQ,TSLA
West Vault Mining Inc.,TSX-V,WVM
Vislink Technologies Inc,NASDAQ,VISL
Westhaven Gold Corp.,TSX-V,WHN
Gold Terra Resource Corp,TSX-V,YGT
BMO Mid Provincial Bond Index ETF,TSX,ZMP
