,security_type,symbol,name,primary_exchange,currency,sector
sec-s-d4bf3af87f9748a6b04027086a411dbe,equity,ABZ,AsiaBaseMetals Inc (Class A),TSX-V,CAD,
sec-s-7b666442c12549c6bea82b0b6f1be3de,equity,ORX,- Class A,TSX-V,CAD,
sec-s-6eaa1ea5c3744b08b2375e63b0777f71,equity,SA.H,Class A,TSX-V,CAD,
sec-s-8e61c75a16f043218bd7ac3a25299eb7,equity,BNK,Class A,TSX,CAD,
sec-s-b0183eae566547b8bacd020e27569bec,equity,XYBN,- Class A,TSX-V,CAD,
sec-s-72a4d5ed0f694720a61586ed6965e648,equity,AGN,Algernon Pharmaceuticals Inc (Class A),CSE,CAD,
sec-s-bb5eb3d26c24465399ee76955198d1a7,equity,ALYA,Alithya Group inc (Class A),TSX,CAD,
sec-s-920963eec34244d6aee08dfd961bd3dd,equity,ALLI,Alpha Lithium Corporation (Class A),TSX-V,CAD,
sec-s-b9bcc6aec090463a819b7aaa4377f98f,equity,AGI,Alamos Gold Inc. (Class A),TSX,CAD,"Mining, Materials"
sec-s-bab02d7b9d684a35befd3a2d970239c5,equity,ALBA.P,A-Labs Capital V Corp,TSX-V,CAD,
sec-s-e9a63c82c8be4f0a8e5ffcc67e8f0261,equity,ADW.A,Andrew Peller Limited (Class A),TSX,CAD,"Food, Alcohol and Tobacco, Consumer Products"
sec-s-e6125312a7ad4e7f97cea4c0efb68f46,equity,ACST,Acasti Pharma Inc (Class A),TSX-V,CAD,
sec-s-7e5a376f04da4ceea8f378157d6fe8b4,equity,LOT,TomaGold Corp (Class A),TSX-V,CAD,
sec-s-6ae946496eac4f3a804667d050ed736a,equity,GIB.A,CGI Inc (Class A),TSX,CAD,"Fractional Trading, Consulting, Software, Technology"
sec-s-6ee48d628fe54fe2b0747c5767499834,equity,BLX,"Boralex, Inc. (Class A)",TSX,CAD,"Energy, Clean Energy, Oil and Gas, Utilities"
sec-s-5fa53857cd934eba9c18122df84ebb80,equity,CSOC.A,- CSOC Class A MVS,TSX-V,CAD,
sec-s-644f8895a19e4ea3a84b090a711d39c6,equity,TSAT,Telesat Corp (Class A),TSX,CAD,
