,security_type,symbol,name,primary_exchange,currency,sector
sec-s-1f5343306aaf40459504a39adb08b227,equity,ABNB,Airbnb Inc (Class A),NASDAQ,USD,Fractional Trading
sec-s-98b109e7fbf746378874dc9e7b57f408,equity,ARHS,Arhaus Inc Class A,NASDAQ,USD,
sec-s-1687562fd82342b48fa511ad02845747,equity,AVPT,AvePoint Inc (Class A),NASDAQ,USD,
sec-s-18dc17bb85964a44a5c35937adb9d022,equity,AMPL,Amplitude Inc (Class A),NASDAQ,USD,
sec-s-d7330e85d0f74c8db81193ded4a73698,equity,APPN,Appian Corp (Class A),NASDAQ,USD,"Software, Internet, Technology"
sec-s-9af103a9e1ee4d1cbe227263c8defc6e,equity,APP,Applovin Corp (Class A),NASDAQ,USD,Fractional Trading
sec-s-08bc0ae785a84e77a7300b274b51df86,equity,CURI,- Class A,NASDAQ,USD,
sec-s-9b0b9d74f90b4b788166221705298053,equity,RANI,Class A,NASDAQ,USD,
sec-s-6fdbb88de5b94ed186632ae1a8854cfe,equity,AMSWA,American Software Inc. (Class A),NASDAQ,USD,"Consulting, Software, Technology"
sec-s-bc162e1db0ae4e19b7502603b81f56cc,equity,AFRM,Affirm Holdings Inc (Class A),NASDAQ,USD,Fractional Trading
sec-s-101ea382999543b59fe993a8fc0ce097,equity,ASTR,Astra Space Inc (Class A),NASDAQ,USD,
sec-s-1d935170f0e44b96918c8a64aa468f63,equity,AMRK,A-Mark Precious Metals Inc.,NASDAQ,USD,
sec-s-6d567ae4187649c49790936951d706f9,equity,ACVA,ACV Auctions Inc (Class A),NASDAQ,USD,
sec-s-10cfe2ad80fb4e6788e02d078ac7c65b,equity,NWSA,News Corp (Class A),NASDAQ,USD,"Advertising and Marketing, Mobile, Education, Entertainment and Media, Technology"
sec-s-139a7dc766f3437c8186e6b42c622cb5,equity,CRCT,Cricut Inc (Class A),NASDAQ,USD,
sec-s-2017b7e23bd2470da2e5533c35696a84,equity,POSH,Poshmark Inc (Class A),NASDAQ,USD,
