,security_type,symbol,name,primary_exchange,currency,sector
sec-s-599a8221ed654698a170ee37745c737d,equity,A,Agilent Technologies Inc.,NYSE,USD,"Healthcare, Biotech, Technology"
sec-s-e5915e6148064f788a385e31037b77ee,equity,AYX,Alteryx Inc (Class A),NYSE,USD,"Software, Internet, Technology"
sec-s-91d9cde88a414848bb03ed9927002978,equity,ACN,Accenture plc (Class A),NYSE,USD,"Fractional Trading, Consulting, Software, Technology"
sec-s-e4b62c72ba0442b989d2042d7146271d,equity,ASAN,Asana Inc (Class A),NYSE,USD,Fractional Trading
sec-s-d0e4aa36b9da4442800dfee1281211b8,equity,APH,Amphenol Corp. (Class A),NYSE,USD,"Manufacturing, Electronics, Engineering, Technology"
sec-s-bd3750e1acba49459dd5b718ba477d19,equity,AMRC,Ameresco Inc. (Class A),NYSE,USD,"Manufacturing, Clean Energy, Consulting, Construction, Engineering"
sec-s-150c3c1519634a63b9984286d1c66a07,equity,RKT,Class A,NYSE,USD,
sec-s-cafed21bfac8444a8a243670f00e5406,equity,TWLO,Class A,NYSE,USD,"Fractional Trading, Software, Internet, Technology"
sec-s-aa94d0e23e7d4be48047ab5555107f7f,equity,MCG,Class A,NYSE,USD,
sec-s-9ef0095e4f784cfb9baa800613a5fb30,equity,SKX,"Skechers U S A, Inc. (Class A)",NYSE,USD,"Apparel and Footwear, Fashion and Jewelry, Consumer Products"
sec-s-28df87067f264ca7a0ae7f47c87bfef9,equity,ARES,Ares Management Corp (Class A),NYSE,USD,
sec-s-c84353d7fc734a70a3682ad6f1dff124,equity,AMWL,American Well Corporation (Class A),NYSE,USD,
sec-s-c861bf5b259841fe98c4e4033a8ac130,equity,AWX,Avalon Holdings Corp. (Class A),NYSE,USD,Environmental Services
sec-s-d8a048f8d3df4afd99d8cf28211496ab,equity,AMRX,Amneal Pharmaceuticals Inc (Class A),NYSE,USD,
sec-s-d8a939c90d964262bc0a15f4b796e21a,equity,AI,C3.ai Inc (Class A),NYSE,USD,Fractional Trading
sec-s-e2a91542306d4db09a674850a297ac2b,equity,AL,Air Lease Corp (Class A),NYSE,USD,"Logistics, Transportation"
sec-s-f70cbdd6fb36420ba821e9dc1e43a8b6,equity,AIN,Albany International Corp. (Class A),NYSE,USD,"Manufacturing, Apparel and Footwear, Fashion and Jewelry, Consumer Products"
sec-s-cd760962b4b84e88afc50f0455609f34,equity,AZEK,AZEK Company Inc (Class A),NYSE,USD,
sec-s-18e56a292634465a8735c15afb357619,equity,ANF,Abercrombie & Fitch Co. (Class A),NYSE,USD,"Apparel and Footwear, Retail, Fashion and Jewelry, Consumer Products"
sec-s-16e2dbe38c164805a17c3e09453ba680,equity,SWCH,Switch Inc (Class A),NYSE,USD,"Entertainment and Media, Software, Internet, Technology"
sec-s-1d10e8b673e24877b1c4646d8ee92f60,equity,WEBR,Weber Inc (Class A),NYSE,USD,
sec-s-27c909bc488445929df894812ecfe15c,equity,TOST,Toast Inc (Class A),NYSE,USD,
sec-s-2a0c824d20c64628bff865b50a515f00,equity,CPNG,Coupang Inc (Class A),NYSE,USD,
sec-s-2d568791234f4371b46d03b39af4fd00,equity,TEN,"Tenneco, Inc. (Class A)",NYSE,USD,"Manufacturing, Automotive"
sec-s-08916c45db314d50803966fd24be4b0f,equity,VLTA,Volta Inc (Class A),NYSE,USD,
sec-s-4c4813c215114cf4a1c991863a147e67,equity,SQSP,Squarespace Inc (Class A),NYSE,USD,Fractional Trading
sec-s-56abe50cc8ac43c6a751e595a391db83,equity,LEN,Lennar Corp. (Class A),NYSE,USD,"Construction, Real Estate, Finance"
sec-s-359ea0882371497280ee8dccd49bc17a,equity,RNG,RingCentral Inc. (Class A),NYSE,USD,"Fractional Trading, Mobile, Software, Internet, Technology"
sec-s-432dedd0dab448ea9feb9a2c4abc362e,equity,GME,Gamestop Corporation (Class A),NYSE,USD,
sec-s-da4a08d4a73b463ca9ff2e80054d329b,equity,ZTS,Zoetis Inc (Class A),NYSE,USD,"Fractional Trading, Manufacturing, Healthcare, Pharmaceuticals"
sec-s-dd44520caf3e44a2a005c82ccdf26e3e,equity,OLO,Olo Inc (Class A),NYSE,USD,
sec-s-e6129a6073bc451ba099593facb1ec24,equity,PINS,Pinterest Inc (Class A),NYSE,USD,"Fractional Trading, Software, Internet, Technology"
sec-s-f5c4359d73e04425b0cb23e223c7ed60,equity,EB,Eventbrite Inc (Class A),NYSE,USD,
sec-s-f8dd65d2c60b480f8b67740701e06ec2,equity,SKLZ,Skillz Inc (Class A),NYSE,USD,
sec-s-fc6791f159ea432bb34591cf630369f7,equity,CATO,Cato Corp. (Class A),NYSE,USD,"Apparel and Footwear, Fashion and Jewelry, Consumer Products"
sec-s-feb06ecae3204f37ad2fce293064dc7a,equity,WE,WeWork Inc (Class A),NYSE,USD,
sec-s-ed57820f594a4a6caca0114f7cd7aec7,equity,CE,Celanese Corp (Series A),NYSE,USD,"Manufacturing, Materials"
sec-s-ce3add4f91bd4e46862f1e73d9575d00,equity,SCS,"Steelcase, Inc. (Class A)",NYSE,USD,"Manufacturing, Machinery, Consumer Products"
sec-s-01fab336dfd24768a7d8210f477db0a5,equity,INFA,Informatica Inc (Class A),NYSE,USD,
sec-s-6ec7cce2feb34f8cba780133e8beb3e9,equity,CIA,"Citizens, Inc. (Class A)",NYSE,USD,"Healthcare, Finance, Insurance"
sec-s-7215ccdae8314c19bbd80477cc01bbcf,equity,PATH,UiPath Inc (Class A),NYSE,USD,Fractional Trading
sec-s-9735eba3cf894aa7b968587b01d0cdf3,equity,MC,Moelis & Co (Class A),NYSE,USD,
sec-s-1762d103afe043fc969ae66ae5c49874,equity,AA,Alcoa Corp,NYSE,USD,"Manufacturing, Materials"
sec-s-c0471e2be13f4b5eb459a41cd4195b3e,equity,AAN,Aarons Company Inc (The),NYSE,USD,
sec-s-5948b4f0feaf434796b811004a679f66,equity,AAP,Advance Auto Parts Inc,NYSE,USD,"Fractional Trading, Retail, Transportation, Automotive"
sec-s-c2674b4c2e7c4990a41cfff5ca51ead3,equity,AAIC,Arlington Asset Investment Corp (Class A),NYSE,USD,Finance
sec-s-05138233d9524e079668879d9fc7a41f,equity,AIR,AAR Corp.,NYSE,USD,"Manufacturing, Aerospace and Defence, Engineering"
sec-s-720579539e864f5aa08109e4ab6b0b5c,equity,JEQ,AAberdeen Japan Equity Fund Inc.,NYSE,USD,
sec-s-46f884a32e4e4b4392080b2b900ee72d,equity,AB,AllianceBernstein Holding Lp,NYSE,USD,Finance
sec-s-91b5ac471f56466a959f7cb8b9440fed,equity,ABT,Abbott Laboratories,NYSE,USD,"Fractional Trading, Manufacturing, Healthcare, Engineering, Technology"
sec-s-fca380f59e674b90a83a350174bd1af8,equity,ABB,ABB Ltd.,NYSE,USD,"Manufacturing, Electronics, Engineering, Technology"
sec-s-51e7224e52fe40fc905c2232baed1b2e,equity,ABM,ABM Industries Inc.,NYSE,USD,"Real Estate, Logistics"
sec-s-b1de51bbaf464e528669f96398e57c46,equity,ABBV,Abbvie Inc,NYSE,USD,"Fractional Trading, Healthcare, Pharmaceuticals, Biotech"
sec-s-2a14635b27b8470e947086f57328b917,equity,ABG,Asbury Automotive Group Inc,NYSE,USD,"Retail, Transportation, Automotive"
sec-s-2ab3dde407574a4aa00b3d993e74ccde,equity,ABEV,Ambev S.A.,NYSE,USD,"Food, Alcohol and Tobacco, Consumer Products"
sec-s-cda30c92a3894c49b9dadccfda4f8221,equity,ABR,Arbor Realty Trust Inc.,NYSE,USD,"Real Estate, Finance, Banking"
sec-s-9841d805247944d493e2aa5cdfce2e7a,equity,ABC,Amerisource Bergen Corp.,NYSE,USD,"Manufacturing, Healthcare, Engineering, Technology"
sec-s-f05b6a9a75b8418f80d7092e525a35ae,equity,FEO,First Trust-Aberdeen Emerging Opportunity Fund,NYSE,USD,
sec-s-18e56a292634465a8735c15afb357619,equity,ANF,Abercrombie & Fitch Co. (Class A),NYSE,USD,"Apparel and Footwear, Retail, Fashion and Jewelry, Consumer Products"
sec-s-1f6f9b83568a4f5e9b781dbbd6d081dd,equity,IAF,Aberdeen Australia Equity Fund Inc.,NYSE,USD,Finance
sec-s-c31007e244714831b10e5e93a0bd2a1c,equity,FCO,Aberdeen Global Income Fund Inc,NYSE,USD,Finance
sec-s-54f0464da0034141a7321075695f8405,equity,FAX,Aberdeen Asia-Pacific Income Fund Inc,NYSE,USD,Finance
sec-s-85d31385829d4e77906f62f9b06bf6f8,equity,AC,Associated Capital Group Inc (Class A),NYSE,USD,Finance
sec-s-ce52d81ed6f84bdeae2cecdeaee51697,equity,ACR,ACRES Commercial Realty Corp,NYSE,USD,
sec-s-a54f08accd004e729221d91f5386e61d,equity,ACU,Acme United Corp.,NYSE,USD,"Manufacturing, Electronics, Retail, Consumer Products"
sec-s-91d9cde88a414848bb03ed9927002978,equity,ACN,Accenture plc (Class A),NYSE,USD,"Fractional Trading, Consulting, Software, Technology"
sec-s-16fa05822b1b4cbaaa8ea1b9b0f44b35,equity,ACCO,Acco Brands Corporation,NYSE,USD,"Manufacturing, Machinery, Consumer Products"
sec-s-25aa0a5888484363a2f11000c62f045c,equity,ACRE,Ares Commercial Real Estate Corp,NYSE,USD,Finance
sec-s-4d4c23c20c4a47b4af0f2c872a92c3a6,equity,ACY,Aerocentury Corp.,NYSE,USD,
sec-s-d0f081babc654e49b856e1dd9e1d1aee,equity,ACI,Albertsons Companies Inc.,NYSE,USD,
sec-s-cac831ba0e0040dc994058d4490a3794,equity,ACM,AECOM,NYSE,USD,"Manufacturing, Consulting, Construction, Engineering"
sec-s-84503c5f570b48b492cea93891d65dbd,equity,ACHR,Archer Aviation Inc.,NYSE,USD,
sec-s-d39938f95b0c44ea8bb2c01e0eda3819,equity,ACH,Aluminum Corporation Of China Limited.,NYSE,USD,"Energy, Manufacturing, Clean Energy, Materials"
