symbol,name,security_type,currency,sector,low_52_week,high_52_week,yield,avg_volume,company_ceo,company_debt,company_earnings_growth,company_gross_profit_margin,description,eps,inception_year,industry_name,market_cap,number_of_employees,pe_ratio,total_assets,primary_exchange,amount
BDIV,Brompton Global Dividend Growth ETF,ETF,CAD,ETFs,19.46,22.9,0.0611,779.0,0,0.0,0.0,0.0,"to provide Unitholders with: (a) stable monthly cash distributions, (b) the opportunity for capital appreciation, and (c) lower overall volatility of portfolio returns than would otherwise be experienced by owning securities of global Dividend Growth Companies (as defined herein) directly.",0.0,0.0,Investment Trusts Or Mutual Funds,80.9761,0.0,0.0,0.0,TSX,19.7500
BESG,Invesco ESG Canadian Core Plus Bond ETF,ETF,CAD,ETFs,17.72,19.73,0.0319,2871.8421,0,0.0,0.0,0.0,"BESG seeks to provide investment returns through a combination of income and capital growth. This Invesco ETF invests, directly or indirectly, primarily in debt securities issued by Canadian federal, provincial or municipal governments and companies while integrating ESG criteria as part of the  fundamental evaluation of investment opportunities.",0.0,0.0,Investment Trusts Or Mutual Funds,175.032,0.0,0.0,0.0,TSX,17.7500
BGC,Bristol Gate Concentrated Canadian Equity ETF,ETF,CAD,ETFs,24.06,27.6,0.0,650.3684,0,0.0,0.0,0.0,BGC seeks to generate long-term growth of income and capital by investing primarily in a concentrated portfolio of publiclytraded equity securities of Canadian companies that pay a dividend.,0.0,0.0,Investment Trusts Or Mutual Funds,16.731,0.0,0.0,0.0,TSX,25.9300
BKL.F,Invesco Senior Loan Index ETF,ETF,CAD,ETFs,16.76,17.56,0.0327,736.7368,0,0.0,0.0,0.0,"In order to achieve its investment objective, BKL currently holds securities of Invesco Senior Loan ETF (NYSE Arca  ticker: BKLN). Invesco Senior Loan ETF seeks investment results that correspond (before fees and expenses)  generally to the price and yield of the S&P/LSTA U.S. Leveraged Loan 100 Index.",0.0,0.0,Investment Trusts Or Mutual Funds,31.9278,0.0,0.0,0.0,TSX,16.7600
BLCK,First Trust Indxx Innovative Transaction and Process ETF,ETF,CAD,ETFs,24.28,28.45,0.0148,9.2105,0,0.0,0.0,0.0,"The First Trust ETF seeks to replicate, to the extent possible, the performance of an innovative transaction and process index. The First Trust ETF will obtain exposure to the Indxx Blockchain Index (the Index) by investing in the First Trust Indxx Innovative Transaction & Process ETF (the Underlying Fund).",0.0,0.0,Investment Trusts Or Mutual Funds,2.5494,0.0,0.0,0.0,TSX,26.5600
BNC,Purpose Canadian Financial Income F - ETF Shares,ETF,CAD,ETFs,24.8,29.21,0.034,58.5263,0,0.0,0.0,0.0,The fund seeks to provide shareholders with (i) long-term capital appreciation through investment in a  portfolio of Canadian Banks (defined below) (up to 70% on an equal weighted basis) and Canadian Insurance Companies (defined below) (up to 30% on an equal weighted basis) and (ii) monthly distributions.,0.0,0.0,Investment Trusts Or Mutual Funds,2.0648,0.0,0.0,0.0,TSX,27.8500
BND,Purpose Global Bond Fund,ETF,CAD,ETFs,18.07,19.56,0.0386,6373.6842,"Som Seif, CFA",0.0,0.0,0.0,The fund seeks to achieve a positive total return (including through both capital appreciation and distributions) in diverse market environments over time by tactically allocating its assets primarily among a broad range of government and corporate investment grade fixed income securities from around the world.,0.0,2017.0,Investment Trusts Or Mutual Funds,458.7925,0.0,0.0,0.0,TSX,18.1700
BXF,CI First Asset 1-5 Year Laddered Government Strip Bond Index ETF,ETF,CAD,ETFs,10.16,10.53,0.014,4096.4737,0,0.0,0.0,0.0,"BXF tracks an index of Canadian strip bonds with 1-6 years to maturity, in five equal-weighted maturity buckets. Each bucket holds one federal and four provincial bonds, weighted equally. ",0.0,0.0,Investment Trusts Or Mutual Funds,133.227,0.0,0.0,0.0,TSX,10.1800
CALL,Evolve US Banks Enhanced Yield Fund  Hedged,ETF,CAD,ETFs,18.16,22.78,0.0757,3856.7368,0,0.0,0.0,0.0,"CALL seeks to replicate, to the extent reasonably possible before fees and expenses, the performance of the Solactive Equal Weight US Bank Index Canadian Dollar Hedged, or any successor thereto, while mitigating downside risk.",0.0,0.0,Investment Trusts Or Mutual Funds,25.0425,0.0,0.0,0.0,TSX,19.4800
CALL.B,Evolve US Banks Enhanced Yield Fund Unhedged,ETF,CAD,ETFs,20.03,24.43,0.0685,729.3158,0,0.0,0.0,0.0,"CALL seeks to replicate, to the extent reasonably possible before fees and expenses, the performance of the Solactive Equal Weight US Bank Index Canadian Dollar Hedged, or any successor thereto, while mitigating downside risk.",0.0,0.0,Investment Trusts Or Mutual Funds,5.7448,0.0,0.0,0.0,TSX,21.4400
