symbol,name,security_type,currency,sector,low_52_week,high_52_week,yield,avg_volume,company_ceo,company_debt,company_earnings_growth,company_gross_profit_margin,description,eps,inception_year,industry_name,market_cap,number_of_employees,pe_ratio,total_assets,primary_exchange,amount
AAXJ,iShares Trust - MSCI Ac Asia ETF,ETF,USD,ETFs,71.13,96.39,0.0257,1210251.1579,"Paul C. Lohrey, CFA, MBA",0.0,0.0,0.0,"AAXJ tracks a market-cap weighted index that holds securities from global markets in Asia, excluding Japan",0.0,2005.0,Investment Trusts Or Mutual Funds,3955.384,0.0,15.8806,0.0,NASDAQ,71.1400
ACWI,iShares Trust - MSCI ACWI ETF,ETF,USD,ETFs,91.53,107.46,0.0188,5187360.8947,"Paul C. Lohrey, CFA, MBA",0.0,0.0,0.0,"ACWI tracks a market-cap-weighted index of large- and midcap global stocks, covering 85% of the developed and emerging markets capitalization.",0.0,2005.0,Investment Trusts Or Mutual Funds,17752.92,0.0,20.3933,0.0,NASDAQ,92.8500
ACWX,BTC iShares MSCI ACWI ex US ETF,ETF,USD,ETFs,48.05,59.1899,0.0293,3545004.4737,"Paul C. Lohrey, CFA, MBA",0.0,0.0,0.0,"ACWX tracks the performance of a market-cap-weighted index of international stocks. It captures 85% of the publicly available market, thus excluding small-caps.",0.0,2005.0,Investment Trusts Or Mutual Funds,4044.922,0.0,15.6215,0.0,NASDAQ,48.9700
AIA,BTC iShares Asia 50 ETF,ETF,USD,ETFs,64.25,95.13,0.0183,87256.6316,"Paul C. Lohrey, CFA, MBA",0.0,0.0,0.0,"AIA tracks an index of 50 of the largest companies from Hong Kong, South Korea, Singapore and Taiwan.",0.0,2005.0,Investment Trusts Or Mutual Funds,1757.2375,0.0,14.9662,0.0,NASDAQ,64.2500
AIRR,First Trust Exchange Traded Fund VI - RBA Industrial ETF,ETF,USD,ETFs,37.6615,47.9945,0.0006,48797.1053,0,0.0,0.0,0.0,AIRR tracks a multifactor-selected index of equities that can benefit from potential regain in market share of US industrial and community banking sector.,0.0,0.0,Investment Trusts Or Mutual Funds,234.08,0.0,25.4147,0.0,NASDAQ,42.5600
ANGL,VanEck Vectors Fallen Angel High Yield Bond ETF,ETF,USD,ETFs,29.94,33.43,0.0417,1993476.0,0,0.0,0.0,0.0,ANGL tracks a market-value-weighted index of bonds that were rated investment grade at issuance but later downgraded to sub-investment grade.,0.0,0.0,Investment Trusts Or Mutual Funds,4181.121,0.0,0.0,0.0,NASDAQ,29.9400
BBH,VanEck Vectors Biotech ETF,ETF,USD,ETFs,146.88,222.22,0.0027,27467.8947,0,0.0,0.0,0.0,BBH tracks a market-cap-weighted index of the 25 largest biotech firms globally.,0.0,0.0,Investment Trusts Or Mutual Funds,436.1409,0.0,31.7667,0.0,NASDAQ,148.0200
BIB,ProShares Ultra Nasdaq Biotechnology,ETF,USD,ETFs,50.81,112.0,0.0,53644.4737,0,0.0,0.0,0.0,BIB provides 2x daily exposure to a modified market-cap-weighted index of biotechnology and pharmaceutical companies listed on NASDAQ.,0.0,0.0,Investment Trusts Or Mutual Funds,107.48,0.0,0.0,0.0,NASDAQ,53.7400
BJK,VanEck ETF Trust - VanEck Gaming ETF,ETF,USD,ETFs,36.0,57.4099,0.0093,22648.4211,0,0.0,0.0,0.0,BJK tracks a market-cap-weighted index of global companies that generate at least 50% of revenues from gaming and related activities.,0.0,0.0,Investment Trusts Or Mutual Funds,82.61,0.0,0.0,0.0,NASDAQ,37.5500
BND,Vanguard Total Bond Market ETF,ETF,USD,ETFs,80.29,87.075,0.0224,7001562.7368,0,0.0,0.0,0.0,"BND tracks a broad, market-value-weighted index of US dollar-denominated, investment-grade, taxable, fixed-income securities with maturities of at least one year.",0.0,0.0,Investment Trusts Or Mutual Funds,81408.3804,0.0,0.0,0.0,NASDAQ,80.3700
BNDX,Vanguard Charlotte Funds - Total International Bond ETF,ETF,USD,ETFs,52.83,58.09,0.0387,4237583.6316,0,0.0,0.0,0.0,"BNDX tracks an investment-grade, non-USD denominated bond index, hedged against currency fluctuations for US investors.",0.0,0.0,Investment Trusts Or Mutual Funds,46390.2732,0.0,0.0,0.0,NASDAQ,53.0200
BOTZ,Global X Funds Global X Robotics & Artificial Intelligence ETF,ETF,USD,ETFs,26.3503,39.99,0.0022,668684.4211,0,0.0,0.0,0.0,BOTZ provides market- cap selected and weighted exposure to companies involved in the development and production of robots or artificial intelligence.,0.0,0.0,Investment Trusts Or Mutual Funds,1896.0593,0.0,53.4733,0.0,NASDAQ,26.5300
DGRE,WisdomTree Emerging Markets Quality Dividend Growth Fund,ETF,USD,ETFs,24.96,30.914,0.0291,14079.5263,0,0.0,0.0,0.0,DGRE is an actively managed portfolio of dividend-paying emerging-market stocks with growth characteristics. The fund seeks income and capital appreciation.,0.0,0.0,Investment Trusts Or Mutual Funds,82.368,0.0,11.2622,0.0,NASDAQ,24.9600
DGRW,WisdomTree U.S. Quality Dividend Growth Fund,ETF,USD,ETFs,55.55,66.5,0.0192,627285.5789,0,0.0,0.0,0.0,DGRW tracks the performance of an index that invests in large- and midcap dividend-paying US common stocks with growth characteristics.,0.0,0.0,Investment Trusts Or Mutual Funds,6563.148,0.0,23.1714,0.0,NASDAQ,60.2400
DVY,BTC iShares Select Dividend ETF,ETF,USD,ETFs,110.24,128.045,0.0309,1179074.1579,"Paul C. Lohrey, CFA, MBA",0.0,0.0,0.0,DVY tracks a dividend-weighted index of US companies. The index selects roughly 100 stocks based on dividend yield from a broad market-cap universe.,0.0,2005.0,Investment Trusts Or Mutual Funds,20523.316,0.0,15.1142,0.0,NASDAQ,123.5600
EMB,BTC iShares J.P. Morgan USD Emerging Markets Bond ETF,ETF,USD,ETFs,93.68,113.64,0.0449,9957653.0,"Paul C. Lohrey, CFA, MBA",0.0,0.0,0.0,EMB tracks an index of US-dollar-denominated sovereign debt issued by emerging-market countries with more than $1B outstanding and at least two years remaining in maturity.,0.0,2005.0,Investment Trusts Or Mutual Funds,16313.217,0.0,0.0,0.0,NASDAQ,95.0100
