,security_type,symbol,name,primary_exchange,currency,sector
sec-s-944d26259cbd4b2e8759b58582982902,exchange_traded_fund,ABTC,Accelerate Carbon Negative Bitcoin ETF,TSX,CAD,
sec-s-27d5654f0416442fbc148539bdfb3549,exchange_traded_fund,HARB.J,Horizons Tactical Absolute Return Bond ETF Dividend Ser,TSX,CAD,
sec-s-090cb6fcd064412aaabd579ec0129309,exchange_traded_fund,HARB,Horizons Tactical Absolute Return Bond ETF Total Return Ser,TSX,CAD,
sec-s-478c07302bc84a4183c4619b3e7d343d,exchange_traded_fund,HARC,Horizons Absolute Return Global Currency ETF,TSX,CAD,
sec-s-d851db04dc5f4e17b8991102af670d4b,exchange_traded_fund,CMAR,CI Marret Alternative Absolute Return Bond ETF,TSX,CAD,
sec-s-3b3836ad195b4844b9aa95f640ee0822,exchange_traded_fund,HDGE,Accelerate Absolute Return Hedge Fund,TSX,CAD,
sec-s-18bf5b940b1f49d9a3bdec1e1737fe95,exchange_traded_fund,DXIF,Dynamic Active International ETF,TSX,CAD,
sec-s-1dad43719ac14ae2a3ee3b6a77cc9186,exchange_traded_fund,DXG,Dynamic Active Global Dividend ETF,TSX,CAD,ETFs
sec-s-200f7069835f4c068fee9cbe05397fad,exchange_traded_fund,DXB,Dynamic Active Tactical Bond ETF,TSX,CAD,ETFs
sec-s-24e1d132ca9a4038810e56d258480335,exchange_traded_fund,DRCU,Desjardins RI Active Canadian Bond - Low CO2 ETF,TSX,CAD,
sec-s-0c6eb7ec42c24866b11d9ec479f59ebe,exchange_traded_fund,PFAE,Picton Mahoney Fortified Active Extn Alternative Fund - ETF,TSX,CAD,
sec-s-4592ad204c6e4ae5ac21627cceb2bb78,exchange_traded_fund,FDV,CI First Asset Active Canadian Dividend ETF,TSX,CAD,ETFs
sec-s-4e75e27f8feb47cda4456e42c3e425cb,exchange_traded_fund,ATSX,Accelerate Enhanced Benchmark Alternative Fund,TSX,CAD,
sec-s-535911580f404c9e86147d28e788c959,exchange_traded_fund,CACB,CIBC Active Investment Grade Corporate Bond ETF,TSX,CAD,
sec-s-3bc48ba34a57433e83b5b9aa2febfe1b,exchange_traded_fund,DXV,Dynamic Active Investment Grade Floating Rate ETF,TSX,CAD,ETFs
sec-s-50437748a61245868366b6ae24316170,exchange_traded_fund,TINF,TD Active Global Infrastructure Equity ETF,TSX,CAD,
sec-s-5048927d018d42dc87e6ad9dc275586a,exchange_traded_fund,FAI,CI First Asset Active Utility & Infrastructure ETF,TSX,CAD,ETFs
sec-s-50e3bb56c04b4167869b27a6d1b86703,exchange_traded_fund,ZCS.L,BMO Short Corporate Bond Index ETF Accum,TSX,CAD,ETFs
sec-s-384c6c1f533646278f853028523fe95e,exchange_traded_fund,FWCP,Franklin Western Asset Core Plus Bond Active ETF,TSX,CAD,
sec-s-f53281b17c0242ccb2ea9ecba56aa98d,exchange_traded_fund,DXW,Dynamic Active International Dividend ETF,TSX,CAD,
sec-s-f7346919011c43dfb99df7d41ab5ff27,exchange_traded_fund,ARB,Accelerate Arbitrage Fund,TSX,CAD,
sec-s-e8f85912271640e4a70a2f02f39908b8,exchange_traded_fund,TUED,TD Active U.S. Enhanced Dividend ETF  CAD,TSX,CAD,
sec-s-cdee341b03fa4729abfdcad545edec99,exchange_traded_fund,DXP,Dynamic Active Preferred Shares ETF,TSX,CAD,ETFs
sec-s-d5a3c6f5a9b34ff5963bce50b3d7fd68,exchange_traded_fund,TGRE,TD Active Global Real Estate Equity ETF,TSX,CAD,
sec-s-7841882aaac84b2e956280ec5a5c00fb,exchange_traded_fund,FGGE,Franklin Global Growth Active ETF,TSX,CAD,
sec-s-6e26314382864096b2edc53c3e66f1ff,exchange_traded_fund,EARN,Evolve Active Global Fixed Income Fund,TSX,CAD,
sec-s-721ee81269c349e68f623d208abd7dd2,exchange_traded_fund,DXO,Dynamic Active Crossover Bond ETF,TSX,CAD,ETFs
sec-s-732d6764ad28498390f48f5df740f72a,exchange_traded_fund,FIXD,Evolve Active Core Fixed Income Fund,AEQUITAS NEO EXCHANGE,CAD,
sec-s-a6348a2fe7b0452cb59af436f615221d,exchange_traded_fund,DXN,Dynamic Active Global Infrastructure ETF,TSX,CAD,
sec-s-aa01e8140d3e4bbeb2f70d4db1ce2292,exchange_traded_fund,TGGR,TD Active Global Equity Growth ETF,TSX,CAD,
sec-s-abf96589a038419387a8773a97819dc8,exchange_traded_fund,PR,Lysander-Slater Preferred Share ActivETF,TSX,CAD,ETFs
sec-s-b88d9825aaa345fabfe10f7b074ed787,exchange_traded_fund,FAO,CI First Asset Active Credit ETF,TSX,CAD,ETFs
sec-s-99d356236e1341429e0162bdaa6eeebf,exchange_traded_fund,CAFR,CIBC Active Investment Grade Floating Rate Bond ETF,TSX,CAD,
sec-s-8ccf3dfbaf9f4c9d98b7cf068e430adb,exchange_traded_fund,MIND,Horizons Active A.I. Global Equity ETF - Class A,TSX,CAD,ETFs
sec-s-15b468bdb5d84b719623b214ba47057a,exchange_traded_fund,HISA,High Interest Savings Account Fund,AEQUITAS NEO EXCHANGE,CAD,
sec-s-074962391b884a3f90fa1a08e3828d1a,exchange_traded_fund,TPRF,TD Active Preferred Share ETF,TSX,CAD,
sec-s-826718efec8948ac98cb2e141fc3832c,exchange_traded_fund,HFR,Horizons Active Ultra-Short Term Investment Grade Bond ETF -,TSX,CAD,ETFs
sec-s-77898601768b4cefa4c8a4a8df187ef5,exchange_traded_fund,DXU,Dynamic Active U.S. Dividend ETF,TSX,CAD,ETFs
sec-s-2f335b460b364fdbb3591b3ae7701dea,exchange_traded_fund,FBTC,Fidelity Advantage Bitcoin ETF - Series L,TSX,CAD,
sec-s-7e317eabd6be4a7683b5fa1c5960aaa8,exchange_traded_fund,UDA,Caldwell U.S. Dividend Advantage Fund,TSX,CAD,
sec-s-bb2fb375424a436ca511252c9000d1f6,exchange_traded_fund,XSHG,iShares ESG Advanced 1-5 Year Canadian Corporate Bond Index ETF,TSX,CAD,
sec-s-701fdc7295c7464ebacb1f613ffa02e6,exchange_traded_fund,RATE,Arrow Ec Income Advantage Alternative Fund - Series ETF,TSX,CAD,
sec-s-ebb4fa3c5ff7419fb02602a382aa8318,exchange_traded_fund,HRAA,Horizons ReSolve Adaptive Asset Allocation ETF,TSX,CAD,
sec-s-f55b624abec14593bca38080097db58e,exchange_traded_fund,XCBG,iShares ESG Advanced Canadian Corporate Bond Index ETF,TSX,CAD,
sec-s-d893fb4e8bb5451d8672ba2ed2cd46ea,exchange_traded_fund,XCSR,iShares ESG Advanced MSCI Canada Index ETF,TSX,CAD,
sec-s-d95600e1ec294dd2bb92ee81ea4ee22c,exchange_traded_fund,XDSR,iShares ESG Advanced MSCI EAFE Index ETF,TSX,CAD,
sec-s-e943a30a26d24152bde4212c56cbb319,exchange_traded_fund,XUSR,iShares ESG Advanced MSCI USA Index ETF,TSX,CAD,
sec-s-70d743506f614c8091553eea135d2e42,exchange_traded_fund,AGR.UN,Sustainable Agriculture & Wellness Dividend Fund - Units,TSX,CAD,
sec-s-0f2c50e2494e42be8ca6a3deb814a9af,exchange_traded_fund,AGSG,AGF Global Sustainable Growth Equity ETF,AEQUITAS NEO EXCHANGE,CAD,
sec-s-1fe37aa5a3264d579a7f955dfdf16037,exchange_traded_fund,AGLB,AGF Global Opportunities Bond ETF,AEQUITAS NEO EXCHANGE,CAD,
sec-s-28d30608fd92463a82a4cc20327d3fde,exchange_traded_fund,COW,iShares Global Agriculture ETF,TSX,CAD,ETFs
