,security_type,symbol,name,primary_exchange,currency,sector
sec-s-d046f370bcd747b6b087dea75194214f,exchange_traded_fund,AAXJ,iShares Trust - MSCI Ac Asia ETF,NASDAQ,USD,ETFs
sec-s-d046f370bcd747b6b087dea75194214f,exchange_traded_fund,AAXJ,iShares Trust - MSCI Ac Asia ETF,NASDAQ,USD,ETFs
sec-s-722015415d474776aa7b009f69a4b655,exchange_traded_fund,ACWI,iShares Trust - MSCI ACWI ETF,NASDAQ,USD,ETFs
sec-s-d27a374e7976426da4e190f8738077db,exchange_traded_fund,ACWX,BTC iShares MSCI ACWI ex US ETF,NASDAQ,USD,ETFs
sec-s-15be56c32fc04f91bc1c4623eebccfbb,exchange_traded_fund,PEY,Invesco High Yield Equity Dividend Achievers ETF,NASDAQ,USD,ETFs
sec-s-d99d8e5a9d494b4fb98511a0b3a7d67c,exchange_traded_fund,PID,Invesco International Dividend Achievers ETF,NASDAQ,USD,ETFs
sec-s-11d7e6922dd1493abe2657d5608d4607,exchange_traded_fund,IPKW,Invesco International BuyBack Achievers TM ETF,NASDAQ,USD,
sec-s-8a7e215a41104ca3adfe14f819f1a238,exchange_traded_fund,ADRE,Invesco Bldrs Index Funds - Emgring Markets,NASDAQ,USD,
sec-s-98f160834e1240eea685d5425dc03b29,exchange_traded_fund,AIA,BTC iShares Asia 50 ETF,NASDAQ,USD,ETFs
sec-s-fbead9303db1423fa5d8b7ed5a3592c3,exchange_traded_fund,AIRR,First Trust Exchange Traded Fund VI - RBA Industrial ETF,NASDAQ,USD,ETFs
sec-s-f51018c3803448ac8e3537e95868a459,exchange_traded_fund,FEX,First  Lrge Corporation Core Alpha Fund - Shares,NASDAQ,USD,ETFs
sec-s-c021938eda3446e3a6db0302aa4a7bff,exchange_traded_fund,ANGL,VanEck Vectors Fallen Angel High Yield Bond ETF,NASDAQ,USD,ETFs
sec-s-77d0c61e43fb4710bbcc9cb99d7f0a84,exchange_traded_fund,ESPO,VanEck Vectors Video Gaming and eSports ETF,NASDAQ,USD,
sec-s-ce8233ffc6424fb3bccff695674b21a4,exchange_traded_fund,PFF,iShares Trust iShares Preferred and Income Securities ETF,NASDAQ,USD,ETFs
