symbol,name,security_type,currency,sector,low_52_week,high_52_week,yield,avg_volume,company_ceo,company_debt,company_earnings_growth,company_gross_profit_margin,description,eps,inception_year,industry_name,market_cap,number_of_employees,pe_ratio,total_assets,primary_exchange,amount
AAA.P,First Tidal Acquisition Corp (Class A),EQUITY,CAD,,0.1,0.155,0.0,2795.4545,0,0.0,0.0,0.0,0,0.0,0.0,Financial Conglomerates,0.0,0.0,0.0,0.0,TSX-V,0.1100
AAB,Aberdeen International Inc,EQUITY,CAD,,0.115,0.385,0.0,42333.3684,"Christopher Younger, MBA",0.6459,-63.1579,95.107,"Aberdeen International, Inc. is an investment company and merchant bank, which focuses on small capitalization companies in the metals and mining sector. It aims to acquire equity participation in pre-IPO and early stage public resource companies with undeveloped or undervalued high-quality resources. It focuses in green hydrogen, green ammonia, platinum and lithium projects. The company was founded on July 14, 1987 and is headquartered in Toronto, Canada.",0.042,1987.0,Financial Conglomerates,17.1315,1.0,2.98,48.4134,TSX,0.1250
AAG,Aftermath Silver Ltd,EQUITY,CAD,,0.31,1.05,0.0,189316.1053,Ralph Rushton,8.5634,0.1923,0.0,"Aftermath Silver Ltd. engages in the acquisition, exploration, and development of mineral properties. It holds interest in the Challacollo, Cachinal, and Berenguela projects. The company was founded on January 27, 2011 and is headquartered in Vancouver, Canada.",-0.0519,2011.0,Other Metals Or Minerals,52.87,0.0,0.0,32.6169,TSX-V,0.3900
AALI,Advance Lithium Corp,EQUITY,CAD,,0.045,0.11,0.0,80901.7368,Allan Barry Laboucan,0.0902,41.7266,0.0,"Advance Lithium Corp. engages in the development of exploration and evaluation assets. It focuses on Kakamega, and Tabasquena projects. The company was founded on September 28, 2004 and is headquartered in Kamloops, Canada.",-0.0081,2004.0,Precious Metals,2.3339,0.0,0.0,4.1709,TSX-V,0.0600
AAPL,Apple CDR (CAD Hedged) ,EQUITY,CAD,,21.24,28.02,0.0029,58287.5,"Tim Cook, MBA",0.0,0.0,0.0,"Apple, Inc. engages in the design, manufacture, and sale of smartphones, personal computers, tablets, wearables and accessories, and other varieties of related services. It operates through the following geographical segments: Americas, Europe, Greater China, Japan, and Rest of Asia Pacific. The Americas segment includes North and South America. The Europe segment consists of European countries, as well as India, the Middle East, and Africa. The Greater China segment comprises China, Hong Kong, and Taiwan. The Rest of Asia Pacific segment includes Australia and Asian countries. Its products and services include iPhone, Mac, iPad, AirPods, Apple TV, Apple Watch, Beats products, AppleCare, iCloud, digital content stores, streaming, and licensing services. The company was founded by Steven Paul Jobs, Ronald Gerald Wayne, and Stephen G. Wozniak in April 1976 and is headquartered in Cupertino, CA.",0.0,1976.0,Telecommunications Equipment,0.0,0.0,0.0,0.0,AEQUITAS NEO EXCHANGE,23.6500
AAU,Angold Resources Limited,EQUITY,CAD,,0.125,0.47,0.0,267705.2105,Adrian Rothwell,0.0,-1762.7737,0.0,"Angold Resources Ltd. is a junior exploration company, engages in the acquisition, exploration, and development of mineral properties in Canada. It holds interest in the SouthBay Uchi, Dorado, Cordillera, and Iron Butte projects. The company was founded on October 6, 2004 and is headquartered in Vancouver, Canada.",-0.2552,2004.0,Precious Metals,4.7148,0.0,0.0,7.2125,TSX-V,0.1650
AAV,Advantage Energy Limited,EQUITY,CAD,,2.28,8.37,0.0,1267234.1579,Michael E. Belenkie,263.006,241.9497,22.0413,"Advantage Energy Ltd. engages in the development and production of natural gas and liquids. It focuses its operation in Glacier, Wembley, Valhalla, and Progress, Alberta. The company was founded on January 2, 1997 and is headquartered in Calgary, Canada.",2.1565,1997.0,Oil And Gas Production,1398.564,42.0,3.4,1994.99,TSX,7.3300
AAZ,Azincourt Energy Corp,EQUITY,CAD,,0.04,0.125,0.0,995503.7368,Alexander Klenman,0.0,21.0811,0.0,"Azincourt Energy Corp. operates as a resource company. The firm specializes in the strategic acquisition, exploration, and development of alternative energy/fuel properties, which include uranium, lithium, cobalt and other elements. Its projects include East Preston Uranium and East Preston. The company was founded on April 7, 2011 and is headquartered in Vancouver, Canada.",-0.0146,2011.0,Other Metals Or Minerals,39.0217,0.0,0.0,16.6073,TSX-V,0.0800
ABCT,ABC Technologies Holdings Inc,EQUITY,CAD,,5.32,9.8276,0.0141,7215.2632,"Todd P. Sheppelman, MBA",651.5467,-186.6003,13.9875,"ABC Technologies Holdings Inc. is a manufacturer and supplier of custom, engineered, technical plastics and light weighting innovations to the North American light vehicle industry, serving more than 25 original equipment manufacturer customers globally through a strategically located footprint. The firm's integrated service offering includes manufacturing, design, engineering, material compounding, machine tooling, and equipment building. It operates in six product groups: HVAC Systems, Interior Systems, Exterior Systems, Fluid Management, Air Induction Systems, and Flexible & Other. The company was founded in 1974 and is headquartered in Toronto, Canada.",-1.8437,1974.0,Auto Parts OEM,728.154,0.0,0.0,1065.3003,TSX,6.3000
ABR,Arbor Metals Corp,EQUITY,CAD,,1.7,2.85,0.0,16143.6316,Mark Layne Philip Ferguson,0.5815,53.9007,0.0,"Arbor Metals Corp. operates as a mining exploration company. The firm specializes in the development of highvalue, geographic significant mineral projects around the world. Its mineral projects include The Miller's Crossing Lithium Project, Jarnet Lithium Project and The Rakounga Gold Project. The company was founded on May 19, 2011 and is headquartered in Vancouver, Canada.",-0.0065,2011.0,Other Metals Or Minerals,130.4225,0.0,0.0,1.1246,TSX-V,2.3900
